id, repo, followersCommunity, forksCommunity, followersParticipation, forksParticipation
coder9042, 2, 21, -1, 1.0, -1
yellowcap, 2, 21, -1, 0.8914440594259138, -1
coldmind, 2, -1, 304, -1, 0.8588630387144667
manfre, 2, 21, -1, 0.96579319690094, -1
Bouke, 2, -1, 140, -1, 0.9999999999999997
jschneier, 2, 27, 65, 0.0, 0.0
LilyFoote, 2, 21, -1, 0.9801739101110823, -1
srinivasreddy, 2, 21, -1, 0.0, -1
AlexHill, 2, 21, -1, 0.0, -1
codingjoe, 2, 21, 320, 0.8211257566633354, 0.0
matthiask, 2, 22, 93, 0.9605576024039812, 0.0
mmardini, 2, 21, -1, 0.9387883523318926, -1
marfire, 2, -1, 305, -1, 0.9999999999999997
scop, 2, 21, 295, 0.0, 0.0
wrwrwr, 2, -1, 306, -1, 1.0
czpython, 2, 21, 79, 0.7837661469153875, 0.0
mgaligniana, 2, 21, -1, 0.8531383597138034, -1
dsanders11, 2, 21, -1, 0.0, -1
dstufft, 2, 21, -1, 0.0, -1
caioariede, 2, 21, 269, 0.789028017828086, 0.0
tchaumeny, 2, -1, -1, -1, -1
cansarigol, 2, 21, 317, 0.8654569877762233, 0.0
fcurella, 2, 21, 46, 0.855461459397412, 0.0
mattrobenolt, 6, 21, 76, 0.0, 0.0
dracos, 2, 21, 126, 0.0, 0.0
MoritzS, 2, 21, -1, 0.0, -1
knyghty, 2, 21, -1, 0.9757469672809881, -1
areski, 2, 21, 304, 0.9094194795034798, 0.0
vytisb, 2, -1, -1, -1, -1
lamby, 6, 23, 385, 0.9375441611935584, 0.0
raphaelm, 2, 21, 43, 0.9290214690719316, 0.0
xrmx, 2, 21, -1, 0.0, -1
vajrasky, 2, -1, -1, -1, -1
ambv, 2, 21, -1, 0.0, -1
matthijskooijman, 2, -1, 309, -1, 0.0
inglesp, 2, 23, 73, 0.0, 0.0
gavinwahl, 2, 21, 314, 1.0, 0.0
schinckel, 2, 21, -1, 0.0, -1
laymonage, 2, 21, -1, 0.7587646654868201, -1
jorgecarleitao, 2, 21, -1, 0.9243814253189693, -1
andrewnester, 2, -1, -1, -1, -1
abhiabhi94, 2, -1, -1, -1, -1
gchp, 2, 21, -1, 0.9229675155147122, -1
iurisilvio, 2, 21, 327, 1.0, 0.0
slurms, 2, 21, -1, 0.7504071550683173, -1
pauloxnet, 2, 21, -1, 0.8674427240575956, -1
rixx, 2, 21, -1, 0.9518086383390859, -1
wkschwartz, 2, -1, -1, -1, -1
MyungSeKyo, 2, 25, -1, 0.9581920187829349, -1
garwoodpr, 2, -1, -1, -1, -1
ArcTanSusan, 2, 21, -1, 0.0, -1
dbrgn, 2, 21, -1, 0.9272409410518728, -1
tim-mccurrach, 2, -1, -1, -1, -1
